Member Library Code	IPS Code	IPS Public Description	IPS Internal Description	Data Maintenance Operation Code	LMS Staff Account Identifier	Effective Date
CP	KI	Shelve with Kiosk on Return	Shelve with Kiosk on Return	I	ddahl	2018-10-03
SU	RT	Shared Print Retention	Shared Print Retention	I	ddahl	2018-08-13
TU	RT	Shared Print Retention	Shared Print Retention	I	ddahl	2018-07-27
BC	MH	Missing hold	Missing hold	I	ddahl	2018-05-16
BL	MH	Missing hold	Missing hold	I	ddahl	2018-05-16
BS	MH	Missing hold	Missing hold	I	ddahl	2018-05-16
CE	MH	Missing hold	Missing hold	I	ddahl	2018-05-16
CP	MH	Missing hold	Missing hold	I	ddahl	2018-05-16
ES	MH	Missing hold	Missing hold	I	ddahl	2018-05-16
FS	MH	Missing hold	Missing hold	I	ddahl	2018-05-16
HS	MH	Missing hold	Missing hold	I	ddahl	2018-05-16
LN	MH	Missing hold	Missing hold	I	ddahl	2018-05-16
ML	MH	Missing hold	Missing hold	I	ddahl	2018-05-16
MS	MH	Missing hold	Missing hold	I	ddahl	2018-05-16
SM	MH	Missing hold	Missing hold	I	ddahl	2018-05-16
SU	MH	Missing hold	Missing hold	I	ddahl	2018-05-16
TU	MH	Missing hold	Missing hold	I	ddahl	2018-05-16
UB	MH	Missing hold	Missing hold	I	ddahl	2018-05-16
UC	MH	Missing hold	Missing hold	I	ddahl	2018-05-16
CP	RE	Shelve with Reserves on Return	Shelve with Reserves on Return	I	ddahl	2017-07-11
LN	AQ	In Acquisitions	In Acquisitions	I	ddahl	2016-12-19
LN	AR	Arrearage	Arrearage	I	ddahl	2016-12-19
LN	BD	Sent for repair	Sent for repair	I	ddahl	2016-12-19
LN	BM	Brittle materials	Brittle materials	I	ddahl	2016-12-19
LN	BX	To be boxed	To be boxed	I	ddahl	2016-12-19
LN	CA	Cancelled	Cancelled	I	ddahl	2016-12-19
LN	CL	Claimed	Claimed	I	ddahl	2016-12-19
ML	CL	Claimed	Claimed	I	ddahl	2017-01-01
LN	CM	Cat. Maintenance	Cat. Maintenance	I	ddahl	2016-12-19
LN	CO	Conservation	Conservation	I	ddahl	2016-12-19
LN	CT	Cataloging	Cataloging	I	ddahl	2016-12-19
LN	CU	Currently Unavailable	Currently unavailable	I	ddahl	2016-12-19
LN	DA	Deacidification	Deacidification	I	ddahl	2016-12-19
LN	DB	"Digitized, brittle"	"Digitized, brittle"	I	ddahl	2016-12-19
LN	DW	"Damaged, withdrawn"	Damaged wdrawn	I	ddahl	2016-12-19
LN	EX	Expected	Expected	I	ddahl	2016-12-19
HS	H1	HS On order	HS  On order	I	ddahl	2017-01-01
LN	HT	Potential future e-access	Potential future e-access	I	ddahl	2016-12-19
LN	IP	In process	In process	I	ddahl	2016-12-19
LN	LB	Labeling	Labeling	I	ddahl	2016-12-19
LN	LR	"Long overdue, replaced"	"Long overdue, replaced"	I	ddahl	2016-12-19
LN	MI	Missing	Missing	I	ddahl	2016-12-19
